Date,Close,High,Low,Open,Volume
2020-01-02,208.7144775390625,208.9139053771762,205.64695220643736,205.7039460799515,15873500
2020-01-03,206.0838165283203,207.22630240410257,205.1436132545173,205.4665205702207,8604500
2020-01-06,205.74192810058594,206.2357735674345,203.32020290667376,204.07996181924173,11885500
2020-01-07,206.68212890625,207.9262270462006,205.78941328152936,206.69162063948474,9388000
2020-01-08,207.03350830078125,209.55019423364737,205.43802766965,205.70394110817188,11959100
2020-01-09,210.6233673095703,211.8579737744501,209.7116681754289,210.3574538545127,13122500
2020-01-10,212.5702362060547,214.59309121814218,210.89022839675087,212.6367073214513,12296000
2020-01-13,218.88571166992188,219.51251388253706,215.6187583703236,217.29972267099294,17544800
2020-01-14,215.096435546875,218.59605946240524,213.56742594770589,218.4773475820076,17266900
2020-01-15,213.73834228515625,216.35950961117982,213.10204841010997,215.24835377181208,10743400
2020-01-16,212.67469787597656,214.94446831705818,211.52556056466955,214.91597862672123,13700500
2020-01-17,215.98912048339844,216.53045357310492,214.01376769428157,214.53608833582192,12956200
2020-01-21,211.07920837402344,211.40211569175455,209.62617616341896,211.25965274508602,15831100
2020-01-22,211.1836700439453,214.2321973344322,210.83228753523582,213.38696937396125,10059600
2020-01-23,208.10667419433594,209.05636921353528,205.8653933693776,206.96702857833992,18519900
2020-01-24,202.997314453125,208.7714620254019,200.69430108682104,207.49887415186353,18143900
2020-01-27,195.1338348388672,197.55556001229448,189.4641544706016,191.09763104688693,24574700
2020-01-28,199.65438842773438,200.30018860402603,196.74832386241332,199.18904712265015,16196700
2020-01-29,201.35433959960938,203.21573369971975,198.98010208024712,201.86716852766546,12871900
2020-01-30,198.08740234375,199.30301089187657,194.71598189758146,197.42261868324277,14376000
2020-01-31,196.19749450683594,197.47008238041565,194.4291628090384,196.11202543126632,18181400
2020-02-03,202.38002014160156,204.2034328913611,198.17286355151546,198.17286355151546,14118800
2020-02-04,211.66802978515625,213.0925723090344,209.39825927675824,210.21499757009622,16695100
2020-02-05,209.14183044433594,215.29584988043058,206.5966403529071,215.12491173915913,15766100
2020-02-06,209.78761291503906,212.39927408052876,208.72395918664026,211.90544313016943,10790800
2020-02-07,205.637451171875,206.88154926687002,204.07046026421773,206.52067503144556,13790300
2020-02-10,204.9156951904297,204.9156951904297,201.52527706839334,202.75988347255438,17420300
2020-02-11,206.2832489013672,208.94238319980965,204.4598218235851,208.84742239840534,16073500
2020-02-12,213.02609252929688,214.1752299061185,209.13235155223748,210.00606925183905,18671900
2020-02-13,209.2747802734375,213.68136427256619,207.97370282593803,208.9328895109536,28069700
2020-02-14,208.58151245117188,210.49039413825324,207.25193078855602,209.9775652267611,10690000
2020-02-18,209.42674255371094,209.74014363830892,206.56815136898172,207.5558422703564,12987000
2020-02-19,210.9652557373047,212.31382095600077,209.6451802105306,210.3764494493209,10798100
2020-02-20,207.0714874267578,211.30713342112293,203.44366013220778,211.30713342112293,14950100
2020-02-21,201.89566040039062,206.6536417149751,200.91747569113826,206.59664784129004,17681200
2020-02-24,195.78912353515625,196.8527772917656,192.3227281106706,193.31041901997548,19380200
